Model,Accuracy,Precision,Recall,F1,MCC,AUC,Time_sec
Random Forest,0.7754889044775609,0.9738248432926901,0.6886484946497851,0.8067774647334269,0.6057856114834029,0.9169359753323908,2.031323194503784
Logistic Regression,0.4646431810015912,0.8557899147925688,0.2566846264066834,0.39491800742574257,0.1902833803579294,0.8078773399334679,1.192913293838501
Naive Bayes,0.6218226199234634,0.9967589036476385,0.4458149336774453,0.6160793895251219,0.4485704099729198,0.7843916081708239,0.9734930992126465
XGBoost,0.3907414694794714,0.7752650798539311,0.14765252511710142,0.24806081509115224,0.07833895986963112,0.7324628312985478,0.9881789684295654
kNN (slow),0.5730205713438385,0.9353708199545775,0.40032344290729927,0.5606834998855748,0.3503001105319562,0.6889645513845679,645.7696011066437
Decision Tree,0.31904688578256085,0.4991678145087236,0.1457587920329141,0.2256321786897898,-0.19383133892503385,0.41074162955312926,1.0390541553497314
